url,strategy,category,audit_id,title,score,display_value,savings_ms,description,affected_items,perf_score,a11y_score,seo_score,bp_score
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,unused-javascript,Reduce unused JavaScript,0,Est savings of 212 KiB,880,Reduce unused JavaScript and defer loading scripts until they are required to decrease bytes consumed by network activity.,,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,network-dependency-tree-insight,Network dependency tree,0,,,,,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,legacy-javascript-insight,Legacy JavaScript,0,Est savings of 14 KiB,,"Polyfills and transforms enable older browsers to use new JavaScript features. However, many aren't necessary for modern browsers. Consider modifying your JavaScript build process to not transpile",13864,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,mainthread-work-breakdown,Minimize main-thread work,0,2.2 s,,"Consider reducing the time spent parsing, compiling and executing JS. You may find delivering smaller JS payloads helps with this.",739.6079999999923 | other | 411.60360000000003 | 286.7820000000006 | scriptParseCompile,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,largest-contentful-paint,Largest Contentful Paint,17,5.6 s,,Largest Contentful Paint marks the time at which the largest text or image is painted.,,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,forced-reflow-insight,Forced reflow,0,,,A forced reflow occurs when JavaScript queries geometric properties (such as offsetWidth) after styles have been invalidated by a change to the DOM state. This can result in poor performance. Learn more about,,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,render-blocking-insight,Render-blocking requests,0,Est savings of 160 ms,,"Requests are blocking the page's initial render, which may delay LCP.",26268 | 159,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,image-delivery-insight,Improve image delivery,50,Est savings of 23 KiB,,Reducing the download time of images can improve the perceived load time of the page and LCP.,"14971 | <img src=""/images/logo/mz-global-trading-logo-header.webp"" alt=""MZ Global Trading"" width=""220"" height=""106"" class=""w-[160px] md:w-[190px] lg:w-[220px] h-auto"">",74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,speed-index,Speed Index,70,4.6 s,,Speed Index shows how quickly the contents of a page are visibly populated.,,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,interactive,Time to Interactive,68,5.7 s,,Time to Interactive is the amount of time it takes for the page to become fully interactive.,,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,mobile,Performance,first-contentful-paint,First Contentful Paint,80,2.1 s,,First Contentful Paint marks the time at which the first text or image is painted.,,74,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,desktop,Performance,unused-javascript,Reduce unused JavaScript,0,Est savings of 212 KiB,200,Reduce unused JavaScript and defer loading scripts until they are required to decrease bytes consumed by network activity.,,96,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,desktop,Performance,render-blocking-insight,Render-blocking requests,0,Est savings of 200 ms,,"Requests are blocking the page's initial render, which may delay LCP.",26266 | https://mz-global-trading.pages.dev/_next/static/chunks/0b-kqkrc2x3_t.css,96,100,100,100
https://mz-global-trading.pages.dev/apparel/knittedgarments/henleyshirts/,desktop,Performance,network-dependency-tree-insight,Network dependency tree,0,,,,,96,100,100,100
